h,0,totalCurrent,gyro,motorSpeedLeft,motorSpeedRight,motorRoller,batteryVoltage,pdpTemp,accelX,accelY,accelZ,current1,current2,current3,current14,current15
d,648,1745219.0,1745221.0,1745221.0,1745222.0,1745222.0,1745222.0,1745222.0,1745223.0,1745223.0,1745223.0,1745223.0,1745224.0,1745224.0,1745224.0,1745224.0
d,649,1748173.0,1748174.0,1748175.0,1748175.0,1748175.0,1748176.0,1748176.0,1748176.0,1748176.0,1748176.0,1748176.0,1748176.0,1748176.0,1748176.0,1748176.0
d,650,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0,1750889.0
d,651,1753145.0,1753146.0,1753147.0,1753147.0,1753147.0,1753148.0,1753148.0,1753148.0,1753148.0,1753149.0,1753149.0,1753149.0,1753149.0,1753150.0,1753150.0
d,652,1755646.0,1755647.0,1755648.0,1755648.0,1755654.0,1755655.0,1755656.0,1755656.0,1755657.0,1755657.0,1755657.0,1755658.0,1755658.0,1755658.0,1755658.0
d,653,1758507.0,1758509.0,1758510.0,1758511.0,1758511.0,1758511.0,1758511.0,1758512.0,1758512.0,1758512.0,1758512.0,1758513.0,1758513.0,1758513.0,1758513.0
d,654,1761049.0,1761054.0,1761055.0,1761055.0,1761055.0,1761055.0,1761056.0,1761056.0,1761056.0,1761056.0,1761056.0,1761056.0,1761056.0,1761057.0,1761057.0
d,655,1763749.0,1763750.0,1763751.0,1763751.0,1763751.0,1763751.0,1763752.0,1763752.0,1763752.0,1763752.0,1763752.0,1763752.0,1763752.0,1763753.0,1763753.0
d,656,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0,1765831.0
d,657,1768412.0,1768412.0,1768412.0,1768412.0,1768412.0,1768412.0,1768412.0,1768412.0,1768412.0,1768413.0,1768413.0,1768413.0,1768413.0,1768413.0,1768413.0
d,658,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0,1771672.0
d,659,1774128.0,1774130.0,1774131.0,1774131.0,1774132.0,1774132.0,1774132.0,1774132.0,1774133.0,1774133.0,1774133.0,1774133.0,1774134.0,1774134.0,1774134.0
d,660,1776630.0,1776635.0,1776636.0,1776636.0,1776637.0,1776637.0,1776637.0,1776637.0,1776637.0,1776638.0,1776638.0,1776638.0,1776638.0,1776639.0,1776639.0
